SN,TRAFFIC_ITEM_ID,TRAFFIC_ITEM_TYPE_DESC,CRITICALITY_DESCRIPTION,GEOLOC_ORIGIN_LATITUDE,GEOLOC_ORIGIN_LONGITUDE,GEOLOC_TO_LATITUDE,GEOLOC_TO_LONGITUDE
20,1068447554386857717,CONSTRUCTION,minor,29.03385,-96.62114,29.02648,-96.62277
21,550256901875861973,CONSTRUCTION,minor,32.59502,-100.47735,32.59457,-100.47648
22,2378358170783135097,CONSTRUCTION,minor,30.74128,-95.60191,30.74087,-95.60038
23,975380608771775151,CONSTRUCTION,critical,32.76041,-97.10235,32.76029,-97.10435
24,3373453263815279752,ROAD_CLOSURE,critical,30.04111,-95.43015,30.03636,-95.42965
25,1510793198747074508,CONSTRUCTION,minor,32.847067,-96.685871,32.84932,-96.68322
26,957513625351532993,CONSTRUCTION,minor,30.28559,-94.19198,30.30141,-94.18557
27,1468374660936539628,CONSTRUCTION,critical,29.72594,-95.46101,29.71663,-95.46065
28,3506966157894059263,CONSTRUCTION,minor,29.7577,-96.14963,29.75725,-96.15012
29,122094536234039929,ROAD_CLOSURE,critical,33.81624,-95.5245,33.81346,-95.52422
30,631567225001886878,CONSTRUCTION,critical,29.58817,-95.02848,29.58824,-95.02879
31,4421165995707678665,CONGESTION,minor,32.7666,-96.90095,32.76653,-96.90511
32,1340253269799441909,CONSTRUCTION,minor,33.1952,-94.4845,33.23461,-94.49768
33,3747611107709229760,ROAD_CLOSURE,critical,32.40025,-98.78916,32.39518,-98.74757
34,2002672158164599381,CONSTRUCTION,minor,32.89846,-96.71512,32.83895,-96.63328
35,1703437628327609026,CONSTRUCTION,critical,31.61094,-93.07176,31.61162,-93.07659
36,3539533763646757223,CONSTRUCTION,minor,30.10328,-93.3592,30.10336,-93.35064
37,3210424943946305180,CONSTRUCTION,minor,29.58361,-95.02917,29.56393,-95.0258
38,3339576283466217704,CONGESTION,minor,29.59697,-95.19551,29.60093,-95.1995
39,3967404904693672761,CONSTRUCTION,critical,32.43315,-93.81869,32.4317,-93.81841
40,3024246251204837055,CONGESTION,minor,29.77437,-95.31281,29.77439,-95.31497
41,3376699004223920017,CONGESTION,minor,31.02704,-97.47544,31.0319,-97.47332
42,919957353114406710,CONSTRUCTION,critical,34.78723,-92.38899,34.79162,-92.39667
43,3637099021709485062,CONGESTION,minor,35.1944,-97.4846,35.19324,-97.48554
44,89442347430785929,CONSTRUCTION,minor,28.87709,-97.67092,28.886,-97.70383
45,2101174225508691696,CONSTRUCTION,minor,33.445645,-96.162908,33.44955,-96.12927
46,1041149567801714299,ROAD_CLOSURE,critical,30.15538,-95.21143,30.16515,-95.20797
47,3850768452383456312,ROAD_CLOSURE,critical,32.747519,-97.492987,32.742223,-97.495009
48,3708106887909229983,ROAD_CLOSURE,critical,32.70704,-97.363045,32.70703,-97.36154
49,3596101133706594777,CONSTRUCTION,minor,29.98039,-98.28016,29.98403,-98.28716
50,3208276857478002059,ACCIDENT,minor,30.91978,-94.82835,30.91973,-94.82582
51,4576571420692876678,CONSTRUCTION,minor,33.24583,-94.63209,33.24797,-94.62903
52,4631802678400594735,MISCELLANEOUS,minor,33.05841,-96.83845,33.06209,-96.83931
53,4246855666151523413,ROAD HAZARD,minor,32.1226,-97.49426,32.12444,-97.49066
54,2679266552218753289,CONSTRUCTION,minor,35.46032,-97.64997,35.46003,-97.6154
55,431914796966165309,CONGESTION,minor,32.96977,-97.30967,32.96779,-97.31013
56,1374494431230936192,CONGESTION,minor,32.79069,-96.79996,32.79314,-96.7968
57,2212084616626112323,CONSTRUCTION,minor,29.20746,-96.27861,29.22849,-96.29564
58,162122238169131061,ROAD_CLOSURE,critical,31.55065,-97.12071,31.5523,-97.11901
59,3070866196506190654,CONSTRUCTION,minor,33.64239,-97.15581,33.49361,-97.16303
60,809397875470069457,CONSTRUCTION,critical,33.21355,-97.1414,33.21463,-97.1414
61,33053147359802231,CONSTRUCTION,minor,33.00867,-100.18118,33.00726,-100.18049
62,1841106827578875160,CONSTRUCTION,minor,34.55567,-100.20175,34.55934,-100.20097
63,1832907058779707579,ACCIDENT,major,29.52573,-98.55704,29.52573,-98.55704
64,2077913003996831670,CONGESTION,minor,32.9318,-97.36714,32.92655,-97.36039
65,1560936462398135782,CONGESTION,minor,32.8377,-96.60176,32.83665,-96.60437
66,3697492108888938540,CONSTRUCTION,minor,31.53967,-94.69179,31.56909,-94.6761
67,3701046546314051609,ROAD_CLOSURE,critical,32.74563,-96.75829,32.75119,-96.76272
68,586626850669273545,CONGESTION,minor,32.79575,-96.6922,32.79517,-96.69436
69,3558684391369169782,ACCIDENT,minor,32.8175,-96.87108,32.8175,-96.87108
70,2011421836855254365,CONSTRUCTION,minor,28.64161,-99.99628,28.63419,-99.9922
71,4345008634341201832,CONSTRUCTION,minor,32.83994,-97.32084,32.83979,-97.3259
72,1640907910861133441,ACCIDENT,minor,30.919732,-94.825947,30.919789,-94.828094
73,1358938979991765924,CONSTRUCTION,minor,33.98516,-99.72506,34.09404,-99.73007
74,1717178001960335706,CONSTRUCTION,critical,33.0088,-96.66662,33.0087,-96.66651
75,2623593566793169463,CONSTRUCTION,minor,32.52503,-97.32395,32.52802,-97.33104
76,187037482443724802,CONSTRUCTION,minor,30.21672,-93.16995,30.21673,-93.1708
77,3296870804615367442,CONSTRUCTION,minor,31.988588,-96.872716,31.96565,-96.8753
78,2713345566654662790,CONSTRUCTION,minor,32.4802,-95.29566,32.48089,-95.28937
79,901946228997650854,CONSTRUCTION,minor,31.96565,-96.8753,31.98859,-96.87272
80,2842783632582662257,CONSTRUCTION,minor,32.50727,-94.74835,32.50626,-94.74849
81,3323960481289404164,CONSTRUCTION,critical,29.73402,-95.45938,29.734801,-95.459062
82,3135275690381745654,CONSTRUCTION,critical,31.38728,-92.90902,31.37241,-92.90915
83,3307960460564556597,CONSTRUCTION,minor,30.12759,-93.70145,30.12161,-93.76668
84,4201440399958002444,CONSTRUCTION,minor,31.90868,-98.55993,31.90562,-98.565
85,3495979063622882453,CONGESTION,minor,29.76072,-95.26513,29.76732,-95.26535
86,1485308557436045950,ROAD_CLOSURE,critical,33.26262,-96.799889,33.26263,-96.7963
87,1943816950920444842,CONSTRUCTION,critical,32.49911,-92.12144,32.49893,-92.12172
88,4406651452995005406,CONSTRUCTION,minor,32.54231,-92.87561,32.54224,-92.87561
89,2929213849702298091,ROAD_CLOSURE,critical,33.64351,-94.13353,33.6429,-94.11451
90,769314409031051271,CONSTRUCTION,minor,33.22082,-96.93144,33.22071,-96.92881
91,2531895239944487549,CONSTRUCTION,critical,32.63521,-97.30426,32.63522,-97.30632
92,1863834134535221042,PLANNED EVENT,critical,35.46858,-97.52422,35.4689,-97.52576
93,922140557865472355,CONSTRUCTION,critical,30.03789,-94.14298,30.0355,-94.14981
94,628060657704979697,CONSTRUCTION,minor,30.10861,-92.12925,30.10835,-92.17529
95,3727756370539177424,PLANNED EVENT,minor,29.83151,-95.33453,29.86667,-95.33194
96,3713117281483057410,OTHER NEWS,minor,30.27177,-97.73321,30.27177,-97.73321
97,3683883624570679247,ROAD_CLOSURE,critical,32.4986,-98.51682,32.49851,-98.52229
98,614866165361449811,CONSTRUCTION,minor,33.48986,-95.85722,33.58249,-95.90335
99,258089324757340627,CONSTRUCTION,minor,31.537845,-92.918225,31.535875,-92.918289
100,3638185896728738034,ROAD HAZARD,minor,31.4546,-98.70229,31.45545,-98.69737
101,1484289159724833125,ROAD_CLOSURE,critical,33.06258,-97.0881,33.0626,-97.09397
102,4034821123179177781,CONSTRUCTION,critical,31.32988,-92.68138,31.34454,-92.67517
103,1972737694961028490,CONSTRUCTION,minor,32.63704,-96.77669,32.6273,-96.77196
104,344748286903358366,CONSTRUCTION,minor,32.2205,-95.87922,32.22681,-95.81205
105,48194794666893540,CONSTRUCTION,minor,29.58902,-96.91755,29.57644,-96.91602
106,3947199368153297906,CONSTRUCTION,critical,29.99854,-95.17969,29.993554,-95.17964
107,3543930068215002159,CONSTRUCTION,critical,34.75004,-92.31641,34.75056,-92.31748
108,3841953279542636454,CONSTRUCTION,minor,29.69185,-96.64517,29.68913,-96.81452
109,1362828274510463119,CONSTRUCTION,minor,32.719,-99.29832,32.75968,-99.10222
110,534285022663582941,CONSTRUCTION,minor,31.13093,-92.9417,31.13075,-92.94195
111,1695012677234607427,CONGESTION,minor,34.74833,-92.38156,34.7485,-92.38674
112,522322530261365251,ROAD_CLOSURE,critical,29.79709,-95.48802,29.79491,-95.48715
113,4556430556490176050,ACCIDENT,major,29.39885,-98.53085,29.39885,-98.53085
114,2079519051053509687,CONSTRUCTION,minor,31.35072,-94.697,31.33717,-94.69058
115,2795191231920842190,CONSTRUCTION,critical,31.92414,-92.63533,31.92344,-92.63532
116,4087929306493615202,CONSTRUCTION,critical,32.75972,-97.05113,32.757295,-97.064069
117,4264003784275858680,CONSTRUCTION,minor,31.53578,-92.91829,31.53788,-92.91822
118,4630835890967170713,CONGESTION,minor,32.78988,-96.5911,32.79021,-96.59327
119,3792422596826163443,CONSTRUCTION,minor,32.79385,-96.70278,32.83428,-96.60962
120,683098002743277262,ROAD_CLOSURE,critical,32.73153,-96.82511,32.73133,-96.82513
121,3019217810300531554,CONSTRUCTION,minor,32.48488,-94.85065,32.49461,-94.81886
122,1573692075544844385,CONSTRUCTION,minor,29.80124,-98.01513,29.72906,-98.07824
123,3560710399487435085,CONSTRUCTION,minor,29.74924,-96.14696,29.74948,-96.14701
124,3305305266802429952,CONSTRUCTION,minor,31.96001,-98.67504,31.95504,-98.67182
125,677454549936490201,CONSTRUCTION,minor,28.578088,-99.197535,28.46589,-99.00027
126,237280945236287699,ROAD_CLOSURE,critical,32.6854,-96.72802,32.6825,-96.72606
127,1955432533192803543,CONSTRUCTION,minor,30.21661,-93.1708,30.21661,-93.16994
128,2225234375805322085,CONSTRUCTION,minor,32.76883,-98.90273,32.75542,-98.90257
129,2586209760104973461,CONSTRUCTION,minor,32.83575,-96.6066,32.79408,-96.70467
130,2427174568375354597,CONSTRUCTION,minor,28.33574,-97.2818,28.64984,-97.38482
131,1090830863878061281,CONSTRUCTION,minor,33.226135,-96.989231,33.226366,-96.989213
132,1427156861093722697,CONSTRUCTION,critical,32.79669,-96.77352,32.79512,-96.77167
133,4600942802645169985,CONSTRUCTION,minor,32.19434,-95.8221,32.20432,-95.85373
134,1486807002417828989,CONSTRUCTION,critical,35.4588,-97.63639,35.46215,-97.63646
135,96007547025923195,CONSTRUCTION,minor,34.55934,-100.20097,34.55567,-100.20175
136,2149045015252557646,CONSTRUCTION,minor,28.59309,-96.63132,28.60013,-96.63709
137,944795220768086574,CONGESTION,minor,31.01551,-97.48268,31.01601,-97.48235
138,825866720846036575,CONSTRUCTION,minor,28.94592,-95.96721,28.93212,-95.96008
139,3793926450601704594,ROAD_CLOSURE,critical,32.39518,-98.74757,32.40025,-98.78916
140,1227793106040597991,CONGESTION,minor,31.57224,-97.11544,31.57937,-97.11094
141,4103891481677990487,CONSTRUCTION,minor,35.22568,-97.42385,35.22568,-97.42385
142,4204076495586432327,CONSTRUCTION,minor,28.93826,-98.14221,29.02199,-98.16923
143,1466190161476191528,CONSTRUCTION,minor,32.66218,-96.86976,32.68624,-96.8484
144,4363666589821771434,CONSTRUCTION,minor,35.08123,-100.36487,35.08122,-100.379354
145,4451975614289495349,CONSTRUCTION,minor,28.43878,-99.76546,28.45347,-99.77949
146,4422118136096527468,CONSTRUCTION,critical,29.68335,-98.45356,29.69362,-98.45232
147,4067562322729275514,CONSTRUCTION,minor,32.99942,-94.44137,33.05736,-94.59133
148,1063762968566644166,CONSTRUCTION,minor,33.09076,-96.82279,33.09113,-96.82279
149,4667561203584371825,CONSTRUCTION,minor,31.16449,-93.97168,31.21787,-93.98682
150,2244119970266928634,ROAD_CLOSURE,critical,30.86112,-93.36597,30.86524,-93.37488
151,3390290543462381489,CONSTRUCTION,minor,35.43522,-97.65405,35.43522,-97.63633
152,4355123046669225071,CONSTRUCTION,major,32.67429,-97.00619,32.6744,-97.003174
153,601754867788270327,CONSTRUCTION,minor,33.3864,-94.49755,33.38166,-94.49963
154,1562995064090841821,ROAD_CLOSURE,critical,32.91489,-96.86737,32.91618,-96.86905
155,4449946074171822225,CONSTRUCTION,minor,28.46589,-99.00027,28.57812,-99.19763
156,329806571963113341,CONGESTION,minor,32.82155,-96.81691,32.81959,-96.8171
157,2093686531694100454,CONSTRUCTION,minor,30.01121,-93.22893,30.01088,-93.22731
158,974582241105224180,PLANNED EVENT,critical,35.46951,-97.52419,35.46859,-97.52419
159,3741589365060531488,MISCELLANEOUS,major,33.06206,-96.83947,33.05837,-96.83863
160,3195982820479023095,CONSTRUCTION,minor,29.71838,-95.26605,29.72932,-95.26648
161,2740238660879521814,CONSTRUCTION,minor,32.80007,-98.02086,32.79891,-98.02423
162,1363375942101687255,ROAD_CLOSURE,critical,32.83072,-97.21858,32.83072,-97.21856
163,940058789607522331,CONSTRUCTION,minor,31.482042,-100.385246,31.475599,-100.386423
164,3123822246042332881,CONGESTION,minor,29.93941,-95.31014,29.93978,-95.30631
165,2320892361818705956,ROAD_CLOSURE,critical,32.84419,-96.782,32.84419,-96.78167
166,4644601026967524157,ROAD_CLOSURE,critical,32.76662,-96.77751,32.76493,-96.77505
167,1563062118270338545,ROAD_CLOSURE,critical,34.91338,-96.16712,34.92002,-96.16422
168,4038389192814096446,CONGESTION,minor,29.78429,-95.57202,29.78411,-95.56745
169,2076450095674040601,CONSTRUCTION,minor,32.98274,-97.16808,32.9788,-97.16462
170,2071847359791909035,CONSTRUCTION,minor,33.787985,-95.385501,33.83482,-95.33845
171,3334767437161288590,CONSTRUCTION,minor,31.39633,-95.476051,31.5644,-95.49268
172,1024301731200629846,CONSTRUCTION,minor,33.61816,-96.61033,33.63346,-96.61565
173,2145937777893710870,CONSTRUCTION,minor,33.15122,-94.96832,33.144,-94.94464
174,1232494940751928312,CONSTRUCTION,minor,32.92501,-96.80341,32.98679,-96.8033
175,3006864246391127900,CONSTRUCTION,minor,30.09258,-97.67907,30.07823,-97.69192
176,2818692993670736018,ROAD_CLOSURE,critical,30.08406,-94.10272,30.08407,-94.1018
177,2205669463340951726,CONSTRUCTION,minor,35.37754,-96.99616,35.39093,-97.00052
178,2414772112666986238,CONSTRUCTION,minor,32.22667,-95.2199,32.22667,-95.2206
179,2163187054018772675,CONSTRUCTION,minor,32.5214,-99.71695,32.60623,-99.69222
180,3240453787138972182,ROAD_CLOSURE,critical,32.83076,-97.21734,32.82968,-97.21778
181,1509302708322065733,CONSTRUCTION,critical,32.78389,-96.79173,32.78343,-96.79352
182,608340847118254807,MISCELLANEOUS,critical,32.32895,-93.52315,32.32715,-93.52424
183,2567027375688059463,ROAD_CLOSURE,critical,32.79814,-96.78414,32.79918,-96.78293
184,2921020976394061545,CONSTRUCTION,minor,33.2343,-97.01352,33.22188,-96.95983
185,3290650301034979092,CONSTRUCTION,minor,33.59424,-96.60512,33.6743,-96.6093
186,3728281845712548598,CONGESTION,minor,32.75971,-97.03694,32.75972,-97.04679
187,218224035797574418,CONSTRUCTION,minor,29.51311,-95.11996,29.53572,-95.13714
188,3007688361284492405,ROAD_CLOSURE,critical,31.317377,-97.470152,31.31217,-97.47698
189,4579927836129686221,ACCIDENT,major,29.49427,-98.55452,29.49427,-98.55452
190,4602054370964572618,CONGESTION,minor,29.78439,-95.5764,29.7844,-95.57326
191,4218086528207573034,CONGESTION,minor,29.81402,-95.36604,29.81392,-95.37013
192,104898044534506537,CONSTRUCTION,minor,29.46465,-98.29553,29.43416,-98.39565
193,3171084698393128188,CONSTRUCTION,minor,29.76535,-96.15051,29.76528,-96.1507
194,196826555746794784,CONGESTION,minor,29.77242,-95.56268,29.77716,-95.5628
195,771566331987592770,CONSTRUCTION,minor,31.88228,-95.09229,31.89963,-95.17107
196,3765972987108509701,CONSTRUCTION,minor,32.5444,-95.86293,32.35663,-95.84782
197,704040951422382532,CONGESTION,minor,30.31609,-97.70769,30.31129,-97.70937
198,1149395160368802469,CONSTRUCTION,minor,33.34435,-99.66678,33.33598,-99.51895
199,2871703476424290711,DISABLED_VEHICLE,critical,30.27854,-97.72997,30.27854,-97.72997
200,235196634343647330,ROAD_CLOSURE,critical,32.75413,-96.76495,32.75509,-96.76377
201,2954487921230666241,CONSTRUCTION,minor,31.59589,-94.14427,31.51201,-94.12685
202,3944958411349984698,CONSTRUCTION,minor,29.87828,-94.33426,29.83376,-94.3841
203,2176918150132901231,CONSTRUCTION,minor,31.29894,-94.65821,31.33626,-94.70922
204,3694845311971502406,CONSTRUCTION,minor,32.74436,-97.60014,32.77409,-97.60084
205,1021663926353345321,CONSTRUCTION,major,32.75905,-97.02839,32.7594,-97.02839
206,2930913068198302982,ROAD_CLOSURE,critical,31.12223,-97.78646,31.12211,-97.78129
207,838371654089653116,CONSTRUCTION,minor,29.56393,-95.0258,29.5639,-95.02617
208,1811709051415895382,ROAD_CLOSURE,critical,32.85119,-96.58666,32.85295,-96.58688
209,1787445230950623029,CONGESTION,minor,32.67001,-96.94064,32.66971,-96.93756
210,2807794941560996774,CONSTRUCTION,minor,30.72665,-93.55949,30.67507,-93.58085
211,318236629159568857,ROAD_CLOSURE,critical,33.116405,-96.822362,33.116373,-96.822296
212,609947185278901020,CONGESTION,minor,29.80667,-95.30016,29.80739,-95.30147
213,414022194406734867,CONSTRUCTION,minor,35.98507,-96.76772,35.98564,-96.74237
214,2841590304603489004,CONSTRUCTION,minor,30.19092,-93.35861,30.20194,-93.35862
215,3159904405739335001,CONGESTION,minor,29.76906,-95.34177,29.76645,-95.34765
216,3078130536869707131,CONSTRUCTION,minor,35.51754,-100.5398,35.54904,-100.83808
217,1534169306974393681,ROAD_CLOSURE,critical,32.75876,-96.8084,32.75792,-96.8084
218,1231873148935449874,ROAD_CLOSURE,critical,32.75509,-96.76377,32.75413,-96.76495
219,3069151006333126090,ROAD_CLOSURE,critical,32.77239,-96.81082,32.77262,-96.81082
220,410661683757793097,CONSTRUCTION,minor,32.07465,-95.4995,32.30605,-95.33625
221,563035598884087590,CONSTRUCTION,minor,29.4032,-97.02939,29.40717,-97.02458
222,1148309225217518151,CONGESTION,minor,35.46024,-97.66735,35.46028,-97.65837
223,67516727881706976,CONSTRUCTION,minor,29.02693,-96.62251,29.03385,-96.62114
224,2864879281137039658,CONSTRUCTION,minor,33.671093,-96.642308,33.62783,-96.64528
225,539138531761372534,ROAD_CLOSURE,critical,30.08375,-94.10322,30.08403,-94.10374
226,2941900434149438303,CONSTRUCTION,minor,30.108351,-92.175158,30.10861,-92.129367
227,4231242838454706418,CONSTRUCTION,minor,30.23241,-93.12922,30.23491,-93.18038
228,3148829683360273279,CONSTRUCTION,critical,30.70709,-93.03749,30.70736,-93.03759
229,666349692242274657,ROAD_CLOSURE,critical,32.44381,-100.3093,32.48771,-100.33712
230,1112763722968301960,CONSTRUCTION,minor,33.22071,-96.92881,33.22082,-96.93144
231,2504455034456422129,MISCELLANEOUS,minor,30.27037,-97.7749,30.26552,-97.78354
232,3833651863904158931,CONSTRUCTION,minor,28.42868,-99.25089,28.45076,-99.23767
233,2051871687678932412,CONSTRUCTION,minor,28.77952,-96.96254,28.76235,-96.98213
234,45027210894235931,CONSTRUCTION,minor,28.88406,-97.47358,28.80189,-97.38762
235,3478034853594176725,MISCELLANEOUS,critical,32.70272,-93.94529,32.70516,-93.94591
236,3139764401950882355,CONSTRUCTION,minor,31.28165,-94.27389,31.28353,-94.27235
237,3485211328351241427,CONGESTION,minor,29.70266,-95.27789,29.69969,-95.28239
238,4042315221956398281,CONSTRUCTION,minor,29.68078,-95.38055,29.68078,-95.38103
239,4462655466951546465,CONSTRUCTION,minor,31.35274,-92.33778,31.35132,-92.3377
240,4159782776477429172,CONSTRUCTION,minor,31.51896,-100.3575,31.47689,-100.39828
241,579093249868778688,CONSTRUCTION,minor,33.63591,-96.61636,33.64642,-96.61276
242,1446448692648817313,ROAD_CLOSURE,critical,31.81507,-93.53782,31.79059,-93.55504
243,92654142902499961,CONSTRUCTION,minor,32.61415,-99.68693,32.61493,-99.68642
244,3205563460576786293,CONSTRUCTION,critical,32.91636,-96.74282,32.83835,-96.63315
245,2206816368955966558,CONSTRUCTION,minor,28.44482,-99.75589,28.48023,-99.8066
246,633147242373891732,CONSTRUCTION,minor,33.144,-94.94464,33.15124,-94.96837
247,3346450144751817074,CONSTRUCTION,minor,35.39093,-97.00074,35.37825,-96.99786
248,3266733117674009633,CONSTRUCTION,minor,30.27417,-93.78339,30.30362,-93.74414
249,3715741956579151001,CONSTRUCTION,minor,33.33598,-99.51895,33.34435,-99.66678
250,2290379189500216825,ACCIDENT,minor,35.41156,-97.60483,35.41156,-97.60483
251,3035471503609283030,CONSTRUCTION,minor,34.53537,-92.67596,34.56262,-92.60895
252,422654064324680915,CONSTRUCTION,minor,30.05256,-95.43171,30.05264,-95.43201
253,142337221472227897,CONGESTION,minor,29.52292,-95.38697,29.51919,-95.38694
254,453472460180917555,CONSTRUCTION,minor,31.89963,-95.17107,31.882288,-95.092295
255,163058221765449155,CONSTRUCTION,minor,30.35844,-97.6886,30.322,-97.70746
256,1575901838666987254,CONSTRUCTION,minor,32.97904,-97.1645,32.9853,-97.17006
257,3972204220675388242,CONSTRUCTION,minor,31.50014,-100.36922,31.51459,-100.37029
258,193538411846912355,CONGESTION,minor,31.59494,-97.10931,31.59094,-97.10956
259,1388206698943082973,CONGESTION,minor,33.10145,-96.82285,33.09821,-96.82291
260,330295706554785086,CONSTRUCTION,minor,32.52875,-93.71871,32.52837,-93.71857
261,481664709067124348,CONSTRUCTION,minor,29.60502,-98.32688,29.60475,-98.32715
262,3491866110855418191,ROAD_CLOSURE,critical,33.6429,-94.11451,33.64351,-94.13353
263,2675671108939134096,CONGESTION,minor,29.81201,-95.46085,29.80546,-95.45381
264,4470349953879526603,CONSTRUCTION,minor,32.76444,-96.80672,32.68226,-96.82311
265,887896920626936691,CONSTRUCTION,minor,29.60475,-98.32715,29.60502,-98.32688
266,2662599925271933485,MISCELLANEOUS,minor,29.89005,-97.91474,29.89161,-97.91361
267,3716618251561256839,CONGESTION,minor,32.77349,-97.31901,32.77783,-97.31976
268,1609476288674828098,CONSTRUCTION,minor,32.42668,-96.86247,32.49738,-96.82286
269,4178184665725515157,CONGESTION,minor,30.22649,-95.45776,30.22692,-95.4578
270,2986309990724435376,ROAD HAZARD,minor,33.8789,-98.47924,33.88888,-98.48424
271,694120397169771470,CONSTRUCTION,minor,35.98564,-96.74237,35.98507,-96.76772
272,3435080654227821042,CONSTRUCTION,minor,32.83853,-96.63293,32.91759,-96.74436
273,3356860366360034234,CONSTRUCTION,minor,32.68994,-96.82296,32.75646,-96.80957
274,3222876164015937778,ROAD_CLOSURE,critical,31.30442,-92.34566,31.30402,-92.34517
275,3061591655178326561,CONGESTION,minor,30.08416,-94.13583,30.08847,-94.13592
276,4366054374561421352,CONSTRUCTION,minor,28.96343,-99.61176,28.93388,-99.78093
277,799564712479816097,ROAD_CLOSURE,critical,33.210619,-96.820576,33.210659,-96.825982
278,2903271672069292856,CONGESTION,minor,32.7945,-96.81465,32.79555,-96.815
279,3166634209065882875,CONSTRUCTION,minor,29.59065,-98.60108,29.55377,-98.66727
280,4159214258492026513,CONSTRUCTION,minor,28.55363,-99.5178,28.53677,-99.42487
281,4472270814317075144,CONSTRUCTION,minor,28.62676,-99.84761,28.6432,-99.85404
282,2765105105264711066,CONSTRUCTION,minor,28.76225,-96.98192,28.77938,-96.96238
283,3781391860409865293,CONSTRUCTION,critical,30.22494,-93.30845,30.22537,-93.30745
284,4447846453531390241,CONGESTION,minor,32.92526,-96.83882,32.92441,-96.84128
285,1226005174722213158,ROAD_CLOSURE,critical,29.76753,-95.44654,29.77747,-95.43822
286,4210054141861836508,CONSTRUCTION,minor,32.61493,-99.68642,32.614201,-99.68696
287,675860498135279970,ROAD_CLOSURE,critical,29.15058,-100.37844,29.17877,-100.31989
288,2901126196455951083,CONSTRUCTION,minor,35.65273,-97.46565,35.65274,-97.45157
289,2464313577941741695,CONSTRUCTION,minor,31.737538,-96.2267,31.792112,-96.492555
290,1499314963070520176,CONSTRUCTION,minor,31.95504,-98.67182,31.96067,-98.67547
291,2381357594999263958,CONSTRUCTION,minor,31.91547,-97.66537,31.84777,-97.73791
292,3403659134882872267,ROAD_CLOSURE,critical,32.48771,-100.33712,32.443843,-100.309308
293,2050036652106577779,CONSTRUCTION,minor,31.56154,-94.50898,31.57135,-94.54071
294,2835892379826193689,ROAD_CLOSURE,critical,31.09807,-97.40616,31.08623,-97.41196
295,3285185336951844762,CONSTRUCTION,critical,30.70618,-92.18328,30.69393,-92.17757
296,2435228064275256711,CONSTRUCTION,minor,31.29299,-92.62267,31.29177,-92.62503
297,4234655094388156182,CONSTRUCTION,critical,29.993554,-95.17964,29.99854,-95.17969
298,3962432977698056215,ROAD_CLOSURE,critical,32.79918,-96.78293,32.79814,-96.78414
299,2052221062438492969,ROAD_CLOSURE,critical,32.76097,-96.81566,32.761,-96.81311
300,2090577718917009926,CONSTRUCTION,major,33.59815,-96.60607,33.66611,-96.61068
301,889034718529138377,CONSTRUCTION,minor,35.45293,-97.4378,35.4402,-97.41629
302,1647365968460495474,ROAD_CLOSURE,critical,35.60301,-97.52016,35.60112,-97.51439
303,1504399692702109033,ROAD_CLOSURE,critical,33.62632,-95.33142,33.61745,-95.33152
304,1713249325827104321,CONGESTION,minor,32.90621,-96.72756,32.90241,-96.72121
305,2272203979505451554,CONSTRUCTION,minor,31.21787,-93.98682,31.16449,-93.97168
306,1551199569786219613,CONGESTION,minor,33.12582,-97.03673,33.12467,-97.03603
