,TRAFFIC_ITEM_ID,TRAFFIC_ITEM_TYPE_DESC,CRITICALITY_DESCRIPTION,GEOLOC_ORIGIN_LATITUDE,GEOLOC_ORIGIN_LONGITUDE,GEOLOC_TO_LATITUDE,GEOLOC_TO_LONGITUDE
89,4644601026970020836,ROAD_CLOSURE,critical,32.76662,-96.77751,32.76493,-96.77505
90,3177312314388000389,CONSTRUCTION,critical,32.790087,-96.805908,32.7907,-96.80656
91,4389008645673140844,ROAD_CLOSURE,critical,32.77463,-96.81173,32.77239,-96.81082
92,2052221062445394019,ROAD_CLOSURE,critical,32.76097,-96.81566,32.761,-96.81311
93,2320892361830218232,ROAD_CLOSURE,critical,32.84419,-96.782,32.84419,-96.78167
94,1280843475054915047,ACCIDENT,major,32.89218,-96.76912,32.89218,-96.76912
95,1926424525050475344,CONSTRUCTION,critical,32.79512,-96.77167,32.79669,-96.77352
96,4355123046658304534,CONSTRUCTION,major,32.67429,-97.00619,32.6744,-97.003174
97,355214819113108398,CONSTRUCTION,minor,32.92501,-96.80341,32.98679,-96.8033
98,4523310838747098039,CONSTRUCTION,minor,32.692195,-96.776921,32.69596,-96.76769
99,2956162685611780193,CONSTRUCTION,critical,32.91533,-96.86875,32.91565,-96.86765
